WKT,id,index
"POLYGON ((523331.301091205 187630.922309892,523188.851735636 187518.280915495,523223.894449282 187324.790951649,523401.387905711 187243.946274329,523543.834453385 187356.591052339,523508.79035253 187550.077124165,523331.301091205 187630.922309892))",24,89195da4223ffff
"POLYGON ((549844.990677804 192920.710787703,549703.145725772 192808.33327719,549738.280501671 192615.209227132,549915.261449046 192534.466649718,550057.103588625 192646.847535321,550021.967573283 192839.967629505,549844.990677804 192920.710787703))",25,89194e6107bffff
"POLYGON ((524771.126329456 167076.736370601,524628.58221716 166963.744827259,524663.63929157 166769.985545254,524841.241803678 166689.22158736,524983.783087262 166802.21645314,524948.724687449 166995.971954488,524771.126329456 167076.736370601))",26,89194ad8d23ffff
"POLYGON ((525527.946298473 170999.171687902,525385.44181241 170886.256632783,525420.498438007 170692.562002573,525598.061001434 170611.786495181,525740.562697194 170724.704962154,525705.504619842 170918.395524776,525527.946298473 170999.171687902))",27,89194adab9bffff
"POLYGON ((519804.048942974 184620.51185937,519661.506729441 184507.796795846,519696.534873843 184314.223575241,519874.106381519 184233.369541622,520016.645715352 184346.088053259,519981.616421219 184539.657150526,519804.048942974 184620.51185937))",28,89195da5a83ffff
"POLYGON ((526961.424496451 190059.30309315,526819.067652597 189946.722864473,526854.117742382 189753.305119311,527031.52364921 189672.470307625,527173.875441724 189785.051082004,527138.825386041 189978.465773478,526961.424496451 190059.30309315))",29,89195da45dbffff
"POLYGON ((550455.027089192 174388.63041388,550313.078558872 174275.929944388,550348.231096655 174082.554650642,550525.333157986 174001.883845191,550667.276533592 174114.587358839,550632.123586285 174307.958784978,550455.027089192 174388.63041388))",30,89194e6c30fffff
"POLYGON ((525630.852365338 169530.339774497,525488.342619007 169417.397159048,525523.402711241 169223.681149397,525700.973330798 169142.912228703,525843.480434133 169255.859306718,525808.419484926 169449.570519171,525630.852365338 169530.339774497))",31,89194adab33ffff
"POLYGON ((525098.13462466 169772.65607418,524955.616096478 169659.7127126,524990.674880704 169465.993578809,525168.252952656 169385.222333336,525310.769429292 169498.168112819,525275.709699365 169691.882867086,525098.13462466 169772.65607418))",32,89194adab0fffff
"POLYGON ((536016.667256777 191253.446606954,535874.516573692 191140.944965317,535909.597530872 190947.642416869,536086.830033026 190866.844203866,536228.977835478 190979.349450742,536193.895998516 191172.648901271,536016.667256777 191253.446606954))",33,89194e690a7ffff
"POLYGON ((514258.025018854 185546.869434485,514115.367185579 185434.135853656,514150.365516736 185240.514366335,514328.021742709 185159.631041011,514470.676239323 185272.367879111,514435.677817908 185465.984864101,514258.025018854 185546.869434485))",34,89195daeab3ffff
"POLYGON ((527228.856113739 168803.460827112,527086.376333141 168690.514947123,527121.442372977 168496.80767822,527298.989589115 168416.050664048,527441.466553019 168529.000090699,527406.399125467 168722.702947822,527228.856113739 168803.460827112))",35,89194ac3683ffff
"POLYGON ((532496.735614324 188246.611336256,532354.483326508 188134.032642195,532389.551330934 187940.64984874,532566.872545035 187859.85003461,532709.122773437 187972.431091006,532674.053570939 188165.809949758,532496.735614324 188246.611336256))",36,89195da6c27ffff
"POLYGON ((533282.913831143 158761.19740739,533140.501192399 158648.119985267,533175.592542788 158454.346973976,533353.097707904 158373.655788917,533495.507489317 158486.736717255,533460.414953858 158680.505313963,533282.913831143 158761.19740739))",37,89194ac2a43ffff
"POLYGON ((553347.815314266 190614.452103357,553206.024469297 190502.05074195,553241.172535451 190308.936069473,553418.112948136 190228.226875459,553559.902416858 190340.632203669,553524.754185411 190533.743300774,553347.815314266 190614.452103357))",38,89194e61cd3ffff
"POLYGON ((530463.672360519 184204.531440499,530321.35713193 184091.876523197,530356.425369777 183898.418205374,530533.810095888 183817.618702279,530676.122248855 183930.278167511,530641.052842613 184123.732201104,530463.672360519 184204.531440499))",39,89195da6b2bffff
"POLYGON ((542658.899128606 158231.09663196,542516.685787646 158118.071495141,542551.82299787 157924.39959933,542729.174784772 157843.756858244,542871.385278929 157956.785370721,542836.246832994 158150.453248743,542658.899128606 158231.09663196))",40,89194ad589bffff
"POLYGON ((534051.861081001 168898.146209935,533909.52844542 168785.238236063,533944.622751216 168591.603912986,534122.050521369 168510.882054359,534264.380090289 168623.793685089,534229.285029869 168817.423421341,534051.861081001 168898.146209935))",41,89194ad19bbffff
"POLYGON ((532393.505823917 189712.763567196,532251.260482155 189600.209701756,532286.327530573 189406.845397539,532463.64113726 189326.03891069,532605.883626351 189438.596177348,532570.815361432 189631.956529754,532393.505823917 189712.763567196))",42,89195da6c8fffff
"POLYGON ((527770.235288752 172111.605968338,527627.787506765 171998.725892139,527662.852528644 171805.072588955,527840.366557317 171724.303430178,527982.811483818 171837.186919296,527947.74523714 172030.836154389,527770.235288752 172111.605968338))",43,89194adad73ffff
"POLYGON ((513173.232987089 179819.990562954,513030.521208435 179707.145231669,513065.526839443 179513.4318706,513243.246249832 179432.567958908,513385.955626689 179545.416398854,513350.947785673 179739.125947846,513173.232987089 179819.990562954))",44,89195dac9c7ffff
"POLYGON ((528386.243319172 162409.988193676,528243.746154405 162296.943970993,528278.822679758 162103.164036064,528456.397565248 162022.432794417,528598.891864394 162135.480535225,528563.814143689 162329.25599967,528386.243319172 162409.988193676))",45,89194ac0657ffff
"POLYGON ((516133.066958802 169759.704078082,515990.352899681 169646.702136915,516025.379107857 169452.883505668,516203.120194931 169372.070017451,516345.831273599 169485.075119516,516310.80424562 169678.890549026,516133.066958802 169759.704078082))",46,89194ad98c7ffff
"POLYGON ((516487.051480812 181333.600506434,516344.418553939 181220.804922863,516379.437086789 181027.14903382,516557.089716764 180946.292844791,516699.719797054 181059.091909749,516664.700087252 181252.743669633,516487.051480812 181333.600506434))",47,89194adb607ffff
"POLYGON ((556103.582113774 186169.756289309,555961.828536036 186057.29909789,555996.988583139 185864.152990313,556173.904141576 185783.468221744,556315.655077188 185895.928967945,556280.493439517 186089.070987034,556103.582113774 186169.756289309))",48,89194e60acfffff
"POLYGON ((530999.847577497 185734.949203766,530857.551396567 185622.318171453,530892.618520112 185428.885472183,531069.982109785 185348.087413528,531212.275160587 185460.721740105,531177.207751825 185654.150831214,530999.847577497 185734.949203766))",49,89195da6b83ffff
"POLYGON ((531625.121270049 179592.930778199,531482.802567093 179480.202195425,531517.878849005 179286.692716715,531695.274964118 179205.915831212,531837.590786796 179318.64781903,531802.513374644 179512.153287427,531625.121270049 179592.930778199))",50,89194ad335bffff
"POLYGON ((519906.708272769 183152.73720688,519764.159461736 183039.99654424,519799.188514631 182846.40442414,519976.767483057 182765.557166983,520119.313494595 182878.301312382,520084.283469624 183071.889252423,519906.708272769 183152.73720688))",51,89195da5a37ffff
"POLYGON ((509996.275550212 188375.582627882,509853.545602596 188262.872978695,509888.531477535 188069.245215191,510066.248809998 187988.331448936,510208.975978026 188101.044618718,510173.988593202 188294.668034268,509996.275550212 188375.582627882))",52,89195dac467ffff
"POLYGON ((534301.003295045 185473.041139576,534158.774885178 185360.428571165,534193.849818055 185167.029109135,534371.154408535 185086.246268689,534513.37976364 185198.862445992,534478.303581764 185392.257897285,534301.003295045 185473.041139576))",53,89194e69a47ffff
"POLYGON ((521435.082811569 196304.050902413,521292.649496081 196191.54458608,521327.674847961 195998.154013717,521505.132720097 195917.2728207,521647.561701822 196029.781820931,521612.537451595 196223.169279673,521435.082811569 196304.050902413))",54,89195da760fffff
"POLYGON ((539527.414220999 190716.546261214,539385.327859825 190604.05622257,539420.421466356 190410.783312919,539597.603626288 190330.005548297,539739.685917463 190442.497688871,539704.590831676 190635.766276406,539527.414220999 190716.546261214))",55,89194e68297ffff
"POLYGON ((512247.117046377 191259.059662375,512104.455100846 191146.40982799,512139.44751611 190952.849330938,512317.103066268 190871.942725376,512459.762153124 190984.595996327,512424.768566066 191178.152432419,512247.117046377 191259.059662375))",56,89195dae2b7ffff
"POLYGON ((527592.329888724 186577.453163757,527449.966614534 186464.81987301,527485.019241497 186271.358063508,527662.436295634 186190.53355521,527804.79669562 186303.170261443,527769.742915679 186496.628060606,527592.329888724 186577.453163757))",57,89195da41a3ffff
"POLYGON ((542580.216936867 173007.127686251,542438.089936083 172894.354120411,542473.21193996 172700.876886244,542650.462614171 172620.177167398,542792.586971856 172732.954271116,542757.463435372 172926.427866908,542580.216936867 173007.127686251))",58,89194ad29dbffff
"POLYGON ((538043.228699414 193520.372806944,537901.130269921 193407.923841218,537936.219115161 193214.672866597,538113.408074689 193133.8754442,538255.503795375 193246.328004527,538220.413265371 193439.574392758,538043.228699414 193520.372806944))",59,89194e6b33bffff
"POLYGON ((531637.128836143 184912.266577373,531494.843384555 184799.626144643,531529.915135737 184606.188486907,531707.273427612 184525.394468865,531849.556101552 184638.040031737,531814.483380928 184831.473945475,531637.128836143 184912.266577373))",60,89195da6bb7ffff
"POLYGON ((530886.545333953 182769.505995076,530744.230483343 182656.828399969,530779.301628067 182463.355477272,530956.68889623 182382.563637711,531099.000962272 182495.244495605,531063.92850356 182688.713924277,530886.545333953 182769.505995076))",61,89195da4db7ffff
"POLYGON ((548134.293642467 186260.62760558,547992.368596369 186148.124438489,548027.497621773 185954.886806592,548204.552721444 185874.156761922,548346.474866809 185986.663462583,548311.344813256 186179.896674466,548134.293642467 186260.62760558))",62,89194e6a977ffff
"POLYGON ((527939.650480403 198127.538440762,527797.364320831 198015.108007209,527832.405178907 197821.813401909,528009.733428818 197740.953370693,528152.01664171 197853.387614692,528116.974538553 198046.678269732,527939.650480403 198127.538440762))",63,89195db59c3ffff
"POLYGON ((538207.635021453 169316.288212528,538065.390187879 169203.423341115,538100.499442766 169009.844301806,538277.855202459 168929.133289391,538420.097318494 169042.001296093,538384.986392361 169235.577180022,538207.635021453 169316.288212528))",64,89194ad0817ffff
"POLYGON ((524393.931458932 186259.27760333,524251.496850643 186146.617702513,524286.538827069 185953.119721273,524464.014156038 185872.286061609,524606.44756785 185984.947906556,524571.405086957 186178.442652281,524393.931458932 186259.27760333))",65,89195da430fffff
