INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
295179154,10/20/2024,22:45:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1040843,192400,40.694592,-73.795914,POINT (-73.795914 40.694592)
281464670,01/31/2024,18:10:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,1003332,182590,40.667824,-73.931215,POINT (-73.931215 40.667824)
286764294,05/12/2024,0:12:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),Y,25-44,M,BLACK,18-24,M,BLACK,1008238,178970,40.657877,-73.91354,POINT (-73.91354 40.657877)
292955427,09/08/2024,11:22:00,BRONX,INSIDE,49,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),18-24,M,BLACK,1027421,256008,40.869254,-73.843909,POINT (-73.843909 40.869254)
288208645,06/08/2024,22:55:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,45-64,M,BLACK,1001370,238165,40.820368,-73.938143,POINT (-73.938143 40.820368)
295944948,11/04/2024,4:51:00,BROOKLYN,OUTSIDE,90,0,STREET,(null),N,45-64,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,1000163,197539,40.708862,-73.942599,POINT (-73.942599 40.708862)
297012905,11/23/2024,22:34:00,BRONX,OUTSIDE,47,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1023283,264964,40.893855,-73.858817,POINT (-73.858817 40.893855)
284155823,03/21/2024,22:33:00,QUEENS,OUTSIDE,113,0,STREET,(null),Y,(null),(null),(null),18-24,M,BLACK,1049436,188454,40.6837,-73.764966,POINT (-73.764966 40.6837)
283447059,03/08/2024,20:00:00,BRONX,OUTSIDE,52,0,STREET,(null),N,<18,M,BLACK HISPANIC,<18,M,BLACK,1013654,255157,40.866974,-73.893689,POINT (-73.893689 40.866974)
291799909,08/16/2024,1:19:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK,25-44,F,BLACK,1010769,253612,40.862742,-73.904126,POINT (-73.904126 40.862742)
292611807,09/01/2024,18:35:00,STATEN ISLAND,INSIDE,120,0,DWELLING,PVT HOUSE,N,25-44,M,BLACK,45-64,M,BLACK,950211,169085,40.630713,-74.122631,POINT (-74.122631 40.630713)
280500174,01/12/2024,18:47:00,BRONX,INSIDE,52,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,WHITE HISPANIC,25-44,M,BLACK,1010769,253612,40.862742,-73.904126,POINT (-73.904126 40.862742)
284454187,03/28/2024,2:03:00,BROOKLYN,OUTSIDE,63,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,998933,168067,40.62797,-73.947101,POINT (-73.947101 40.62797)
279800218,01/01/2024,8:15:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,1011437,186306,40.678004,-73.901983,POINT (-73.901983 40.678004)
280879491,01/21/2024,6:08:00,BRONX,INSIDE,47,0,STREET,(null),Y,(null),(null),(null),45-64,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK,25-44,M,BLACK,1007839,246906,40.844344,-73.914743,POINT (-73.914743 40.844344)
288607696,06/16/2024,13:00:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1003257,177085,40.652716,-73.9315,POINT (-73.9315 40.652716)
282033298,02/10/2024,5:10:00,BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,<18,M,BLACK,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803)
285883382,04/24/2024,21:50:00,BRONX,OUTSIDE,42,0,STREET,(null),N,18-24,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1009353,239589,40.824259,-73.909295,POINT (-73.909295 40.824259)
287845256,06/01/2024,9:49:00,MANHATTAN,OUTSIDE,26,0,STREET,(null),N,45-64,M,BLACK,45-64,M,BLACK,996979,234633,40.81068,-73.954016,POINT (-73.954016 40.81068)
294818629,10/12/2024,19:11:00,MANHATTAN,OUTSIDE,5,0,STREET,(null),N,18-24,M,ASIAN / PACIFIC ISLANDER,45-64,M,WHITE HISPANIC,984838,198804,40.712349,-73.997877,POINT (-73.997877 40.712349)
282423225,02/18/2024,3:56:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,999508,235734,40.813698,-73.944875,POINT (-73.944875 40.813698)
289909177,07/11/2024,1:06:00,BROOKLYN,OUTSIDE,83,0,STREET,(null),N,(null),(null),(null),25-44,F,BLACK,1009695,188442,40.683871,-73.908254,POINT (-73.908254 40.683871)
293335063,09/15/2024,1:22:00,QUEENS,OUTSIDE,101,0,STREET,(null),N,(null),(null),(null),18-24,M,ASIAN / PACIFIC ISLANDER,1047318,156109,40.594936,-73.772905,POINT (-73.772905 40.594936)
296455535,11/13/2024,15:03:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,1013362,185075,40.674617,-73.895047,POINT (-73.895047 40.674617)
291286546,08/06/2024,15:13:00,BROOKLYN,OUTSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1017183,179927,40.660475,-73.881297,POINT (-73.881297 40.660475)
